,,,"Appendix 1. Details of reported baleen whale injury events along the Gulf of Mexico, US East Coast and Atlantic Canadian provinces, 2019-2023. Assignment of Serious Injury (SI) criteria, SI values and List of Fisheries (LOF) inclusion follow the guidance established by NMFS Instruction 02-038-01.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Date,Individual,Location,Cause of Injury,Country of Origin,Country ID method,Gear Type,Description,"Initial 
SI criteria",Final SI critieria,SI value,SI value changes ,LOFa,
18,RIWH,-,23-Jul-20,4615/Hercules,Gulf of St. Lawrence,Entangled,Unknown First seen Canada,-,Unknown,"No gear present. New, extensive injuries to peduncle and leading edges of flukes consistent with entanglement. Resights indicate healing until subsequent entanglement (see 13-Jul-2021 event).",L10,L10,0,Healing,-,
19,RIWH,"E21-20, MMSC-20-150",11-Oct-20,4680,"2.7 nm E of Sea Bright, NJ",Entangled,Unknown First seen USA,-,Unknown,"Free-swimming with 2 lines embedded in rostrum, remaining configuration unknown. Extremely poor condition—emaciated, gray skin, large open lesion on left side of head. No resights.",L2,L2,1,-,Yes,
20,RIWH,E02-21,11-Jan-21,1803,"9.1 nm E of Fernandina Beach, FL",Entangled,Unknown First seen USA,-,Unknown,Free-swimming with constricting wraps at peduncle and fluke insertion and around left fluke blade. No resights post 12-Jan-2021.,L2,L2,1,-,Yes,
21,RIWH,-,12-Feb-21,3230/Infinity,"27 nm E of Cumberland Island, GA",Vessel strike,USA,Fresh injury or known location,-,Fifty-four ft. vessel traveling at 28 kn. self-reported strike. Lactating female with lacerations of unknown depth resighted on 16-Feb-2021. Dependent calf died from injuries received (see 12-Feb-2021 event in Appendix 2). No additional resights.,"L6b, L11","L6b, L11",0.52,-,-,
22,RIWH,-,07-Mar-21,1209/El,"Massachusetts Bay, MA",Vessel strike,Unknown First seen USA,-,-,"Two minor propeller lacerations to right fluke tip. Subsequent sightings show eventual loss of tip, but evidence of healing. Event added in 2018-2022 report.",L5b,L5b,0,-,-,
23,RIWH,"E04-21, MARS2021-136",10-Mar-21,3560/Snow Cone,"8.3 nm N of Sandwich, MA",Entangled,Canada,-,Unknown,"Free-swimming with constricting rostrum wrap and trailing gear 300 ft. Partial disentanglements on 3 separate occasions removed sections of trailing gear. Successful calving event in December 2021. Stable health until 23-Jul-2022 when appeared thinner, increased lesions and cyamids, and discolored rostrum. Sighted 22-Sep-2022 in significant health decline and carrying new entanglement. No additional resights. Dependent calf (see 02-Dec-2021 event) last sighted on 26-Apr-2022. Originally reported as Unknown, First seen USA and LOF Yes. Updated in 2018-2022 report.",L2,L2,1c,-,-,
24,RIWH,-,30-Mar-21,2223/Calvin,"11.3 nm N of Race Point, Provincetown, MA",Entangled,Unknown First seen USA,-,Unknown,"No gear present but new, extensive, raw and healing injuries along peduncle and at fluke insertion. Resights indicate healing.",L10,L10,0,Healing,-,
25,RIWH,"E13-21, MARS2021-215",13-Jul-21,4615/Hercules,"32.6 nm NE of Sainte Marie - Saint Raphael, QC",Entangled,Canada,Fresh injury or known location,Unknown,"Recent (within 5 hours) entanglement. Line through mouth and over rostrum leading down towards right flipper and back towards flukes. Constricting line over peduncle and down to weighted gear. Resighted on 14-Jul-2021 with rostrum wrap leading down to weighted gear, no gear on fluke or peduncle area. No additional resights.",L2,L2,1,-,-,
26,RIWH,-,02-Dec-21,2022 Calf of 3560,"Cumberland Island, GA",Entangled,Canada,-,Unknown,"Dependent calf of entangled lactating female (see 10-Mar-2021 event). No resights post 26-Apr-2022. Originally reported as Unknown, First seen USA and LOF Yes. Updated in 2018-2022 report.",L8,L8,1,-,-,
27,RIWH,-,06-May-22,4042/Martini,"Cape Cod Bay, MA",Entangled,Unknown First seen USA,-,Unknown,"No gear present. New, healing rostrum injury consistent with constricting gear. Resights indicate healing.",L2,L2,0,Healing,-,
28,RIWH,"E02-22, MARS2022-110",16-May-22,3823/Sundog,"32 nm NE of Perce, QC",Entangled,Unknown First seen Canada,-,Unknown,"Free-swimming with line through mouth, possibly forming a bridle under the chin, and trailing aft. 1 portion trails hundreds of feet, terminating at a bullet buoy and polyball, the other portion descends to depth. Full configuration unknown. No resights.",L10,L10,0.75,-,Yes,
29,RIWH,-,24-May-22,5012,"72.5 nm E of Truro, MA",Vessel strike,Unknown First seen USA,-,-,At least 8 healing and healed lacerations of unknown depth across back. Resights indicate injuries healing.,L11,L11,0,Healing,-,
30,RIWH,"E09-22, MARS2022-172",25-Jun-22,1403/Meridian,"38.3 nm E of Shippagan, NB",Entangled,Unknown First seen Canada,-,Unknown,Free-swimming with tight body wrap. Attachment point(s) unknown. No additional resights post-07-Jul-2022. Previously reported as 30-Jun-2022.,L2,L2,1,-,Yes,
31,RIWH,-,08-Jul-22,4650/Sebastian,Gulf of St. Lawrence,Entangled,Unknown First seen Canada,-,Unknown,"No gear present, but raw and healing injuries on head, lips, peduncle, and flukes consistent with constricting entanglement. Resights indicate healing.",L2,L2,0,Healing,-,
32,RIWH,"E17-22, MARS2022-263",24-Aug-22,4501,"48.2 nm E of Shippagan, NB",Entangled,Canada,Fresh injury or known location,Unknown,"Cryptic entanglement, line shifting during observation period. Attachment point(s) unknown. Resights confirm gear free and healing. Previously reported as Unknown; First seen Canada.",L10,L10,0,Gear-free,-,
33,RIWH,"E22-22, MARS2022-197",21-Sep-22,3560/Snow Cone,"16.3 nm S of Nantucket, MA",Entangled,Unknown First seen USA,-,Unknown,"Free-swimming with line through mouth and trailing to weighted gear. Possible flipper involvement. Heavy cyamid load on mandibles, lips, and head. Still carrying constricting rostrum wrap from previous entanglement (see 10-Mar-2021 event). No resights.",L2,L2,1c,-,Yes,
34,RIWH,-,22-Dec-22,4310/Prickly Pear,"1 nm E of Ponte Vedra Beach, FL",Entangled,Unknown First seen USA,-,Unknown,"No gear present. New, raw & healing entanglement injuries to peduncle and leading edges of flukes. Resights indicate healing.",L10,L10,0,Healing,-,
35,RIWH,E01-23,08-Jan-23,4904,"16.3 nm E of Rodanthe, NC",Entangled,Unknown; First seen USA,-,Unknown,"Free-swimming with at least one constricting rostrum wrap. Line exits both sides of mouth, entending back to constricting peduncle wraps and trailing aft of flukes. No resights.",L2,L2,1,-,Yes,
36,RIWH,E02-23,20-Jan-23,3812/Nimbus,"19.0 nm SE of St. Simons Island, GA",Entangled,Canada,Gear identified,Pot/trap,Free-swimming with open bridle—line exiting both sides of mouth and trailing aft of pectoral along the right side and 300+ ft. along left side. Partial disentanglement—trailing line shortened. Resights confirm shed remaining gear and healing.,L3,L3,0,-,-,
37,RIWH,E03-23,27-Jan-23,1218/Argo,"7.8 nm SE of Surf City, NC",Entangled,Canada,Gear identified,Pot/trap,"Free-swimming with embedded peduncle wraps. Disentangled, but remains SI due to health decline—swimming with flippers only and heavy cyamid load. No resights.",L2,n/a,1,-,-,
38,RIWH,"E04-23, MARS2023-310",09-Feb-23,4545,"33.2 nm SE of Nantucket, MA",Entangled,Canada,Gear identified,Pot/trap,"Free-swimming. Line exiting right mouth and trailing eventually became three embedded body wraps and contricting wraps on left pectoral. Partial disentanglement—200 ft. of line removed, body wraps shifted aft, constricting pectoral wraps remained. Significant health decline—heavy cyamid load and compromised flipper. Seen with subsequent new entanglement (see 30-Jul-2023 event).",L2,L2,1c,-,-,
39,RIWH,-,14-Feb-23,5290,"3.7 nm S of Tybee Island, GA",Vessel strike,Unknown; First seen USA,-,-,"Two new, superficial, healing lacerations at forward left part of peduncle. Resights indicate healing.",L5b,L5b,0,-,-,
40,RIWH,-,01-Mar-23,4080,"40.1 nm SE of Nantucket,  MA",Entangled,Unknown; First seen USA,-,Unknown,"No gear present. New rostrum, lip, and peduncle injuries consistent with constricting entanglement. Resights indicate healing.",L2,L2,0,Healing,-,
41,RIWH,-,22-Mar-23,4446/Rill,"34.8 nm SE of Nantucket, MA",Entangled,Unknown; First seen USA,-,Unknown,No gear present. New wrapping rostrum injury consistent with constricting entanglement. Resights indicate healing.,L2,L2,0,Healing,-,
42,RIWH,-,09-Apr-23,4510/Shelagh,"Cape Cod Bay, MA",Entangled,Unknown; First seen USA,-,Unknown,"No gear present. New, extensive injuries across rostrum, inside mouth, on peduncle, and leading edges of flukes consistent with constricting gear. Resights indicate healing.",L2,L2,0,Healing,-,
43,RIWH,-,12-Jun-23,5280,"17.4 nm SE of Perce, QC",Entangled,Unknown; First seen Canada,-,Unknown,"No gear present. New body, chin, pectoral, peduncle, and fluke injuries consistent with constricting entanglement. Resights indicate healing.",L2,L2,0,Healing,-,
44,RIWH,-,12-Jun-23,2930/Specs,"13.4 nm S of Perce, QC",Entangled,Unknown; First seen Canada,-,Unknown,"No gear visible. Evidence of new, constricting rostrum wraps and extensive injuries to peduncle and flukes. Right pectoral pale and compromised indicating constricting gear. Extreme health decline—emaciated, large lesions on head, and moderate cyamid load. No resights post-13-Jun-2023.",L2,L2,1,-,-,
45,RIWH,"E16-23, MARS2023-284",15-Jul-23,4042/Martini,"25.1 nm SE of Miscou Island, NB",Entangled,Canada,Fresh injury or known location,Unknown,"Free-swimming with line exiting left mouth line, passing over left flipper, then under body and trailing 3-4 body lengths beyond right fluke blade. No wraps. Resights confirm gear-free and healing.",L3,L3,0,-,-,
46,RIWH,-,20-Jul-23,3390/Uca,"22.9 nm E of Shippagan,NB",Entangled,Unknown; First seen Canada,-,Unknown,"No gear present. New, wrapping rostrum injury consistent with constricting entanglement. Resights indicate healing.",L2,L2,0,Healing,-,
47,RIWH,-,21-Jul-23,2503/Boomerang,"22.2 nm E of Shippagan, NB",Entangled,Unknown; First seen Canada,-,Unknown,No gear present. New extensive entanglement injuries along peduncle and fluke insertion. Resights indicate healing.,L10,L10,0,Healing,-,
48,RIWH,-,21-Jul-23,4040/Chiminea,"Gulf of St. Lawrence, QC",Entangled,Unknown; First seen Canada,-,Unknown,"No gear present. New entanglement injuries on peduncle and fluke, including sheared leading edge of right fluke blade with distal tip partly amputated. Resights show tip fully amputated and wounds healing. ",L2,L2,0,Healing,-,
49,RIWH,E20-23,30-Jul-23,4545,"22.3 nm SE of Miscou Island, NB",Entangled,Canada,Fresh injury or known location,Unknown,Free-swimming with at least three constricting head wraps trailing to sinking line. Already carrying gear from previous entanglement (see 09-Feb-2023 event). Continued health decline. No resights post-24-Aug-2023.,L2,L2,1c,-,-,
50,RIWH,-,20-Aug-23,4605,"20.5 nm SE of Nantucket, MA",Entangled,Unknown; First seen USA,-,Unknown,"No gear present. New, wrapping rostrum and fluke insertion injuries consistent with constricting entanglement. Resights indicate healing.",L2,L2,0,Healing,-,
51,,,Gulf of Maine humpback whale (Megaptera novaeangliae),,,,,,,# events/sums:,,128,41.02,55,76,
52,HUWH,E03-19,23-Apr-19,-,"0.5 nm S of Cape May, NJ",Entangled,Unknown First seen USA,-,Unknown,"Free-swimming with constricting line across back, remaining configuration and attachment point(s) unknown. No resights post 01-Jun-2019.",L2,L2,1,-,Yes,
53,HUWH,-,01-May-19,-,"Avalon Pier, Kill Devil Hills, NC",Vessel strike,Unknown First seen USA,-,-,"Free-swimming with a large, deep wound on back. Propeller lacerations along edge of wound. Injury healing, and animal appears in good condition. No resights.",L5a,L5a,0,Healing,-,
54,HUWH,E06-19,02-May-19,-,"0.1 nm W of Ocean City, MD",Entangled,USA,Gear identified,Gillnet,Partially disentangled from anchoring gear. Left free-swimming with gear through mouth at minimum. Final configuration unknown. No resights.,L2,L10,0.75,-,Yes,
55,HUWH,-,26-May-19,Molten,"off Rockaway, NY",Vessel strike,Unknown First seen USA,-,-,"15 fresh, superficial lacerations along right side and across peduncle. Resights indicate healing. Subsequently sighted with new fluke injuries (see 22-Aug-2019 event). Event added in 2018-2022 report.",L5b,L5b,0,-,-,
